,precision,recall,f1-score,support
call,0.9933333333333333,0.9900332225913622,0.9916805324459235,301.0
dislike,1.0,0.9961389961389961,0.9980657640232108,259.0
fist,1.0,0.9894179894179894,0.9946808510638298,189.0
four,0.9848024316109423,0.9908256880733946,0.9878048780487805,327.0
like,0.9930555555555556,0.9965156794425087,0.9947826086956522,287.0
mute,0.9461883408071748,0.9723502304147466,0.9590909090909091,217.0
ok,0.9936908517350158,0.9905660377358491,0.9921259842519685,318.0
one,0.9603174603174603,0.9565217391304348,0.9584158415841584,253.0
palm,0.987987987987988,0.996969696969697,0.9924585218702866,330.0
peace,0.9825174825174825,0.9756944444444444,0.9790940766550522,288.0
peace_inverted,0.9899328859060402,0.9866220735785953,0.9882747068676717,299.0
rock,0.993127147766323,0.9897260273972602,0.9914236706689536,292.0
stop,0.9665551839464883,0.9763513513513513,0.9714285714285714,296.0
stop_inverted,0.9873015873015873,0.9904458598726115,0.9888712241653418,314.0
three,0.9964788732394366,0.9725085910652921,0.9843478260869565,291.0
three2,0.9909638554216867,0.9939577039274925,0.9924585218702866,331.0
two_up,0.9776951672862454,0.9776951672862454,0.9776951672862454,269.0
two_up_inverted,0.9817518248175182,0.9817518248175182,0.9817518248175182,274.0
accuracy,0.9851996105160662,0.9851996105160662,0.9851996105160662,0.9851996105160662
macro avg,0.98476110941946,0.9846717957586549,0.9846917489400732,5135.0
weighted avg,0.9852753852647755,0.9851996105160662,0.9852151939914914,5135.0
