Feature,Importance
dist_index_middle,0.04480746372906502
dist_thumb_pinky,0.03601703978228573
y21,0.028198512251829316
dist_index_pinky,0.027689163777186023
y9,0.02534682573919982
len_pinky,0.024862199896581828
y20,0.02465525468501639
dist_ring_pinky,0.024070170549526124
dist_thumb_ring,0.02399927347419136
dist_index_ring,0.023459343647424916
dist_middle_pinky,0.02237747520110188
dist_thumb_middle,0.021420918966479883
y8,0.021295190529889676
y17,0.021217305200612657
ratio_thumb_pinky,0.02033386241745512
len_thumb,0.019835276906074447
ratio_ring_pinky,0.019796765051158745
ratio_index_middle,0.01925094366658682
y16,0.0190531773802534
curl_ring,0.018786143511305038
z2,0.01833363006380484
curl_thumb,0.01793854464963538
y2,0.017290812151126978
ratio_thumb_index,0.01723285778647307
y3,0.016826809707920196
curl_index,0.016559237563631975
dist_middle_ring,0.016415754823837274
ratio_index_pinky,0.015531750081517706
y15,0.015004923226374497
len_ring,0.01488306270969877
y5,0.014577597976476127
ratio_thumb_ring,0.014252171062202132
y13,0.01412937605942866
y7,0.014074007638361582
ratio_middle_pinky,0.014063083025643883
dist_thumb_index,0.014047578575709497
y10,0.013884413838986299
y4,0.013878951768520902
y6,0.013585948171677562
ratio_thumb_middle,0.013298756351758576
y18,0.01296805664498972
len_index,0.012722719219655352
y14,0.012645346791744137
ratio_index_ring,0.012202172329767783
y19,0.011990337195390501
y12,0.011864288529636821
len_middle,0.011345444814059094
curl_middle,0.010773835414681647
y11,0.010772446582501169
curl_pinky,0.009808727082158965
z3,0.008973839158873466
ratio_middle_ring,0.005880131238592326
z4,0.005652772408535675
x21,0.005110166596192553
x20,0.004338518060372884
z21,0.0034292446630828683
z5,0.003320486541760007
x5,0.0031153612797807312
x13,0.0028650623749513597
x12,0.0026105114041701377
x9,0.002447509437419956
x19,0.002397559349121668
z10,0.0022792937638911213
x3,0.002254848521702043
x16,0.0022480853481671214
x17,0.0022288704091209402
x8,0.0021733649689823736
x15,0.0020952451718833837
x4,0.002046734128363928
z14,0.001981868466992923
x11,0.0018898361263294482
z17,0.0015921179922281836
x18,0.0015484810788251484
x7,0.0015454818077679218
z20,0.001516152347436444
x14,0.001506507360772557
z6,0.0014161369839927865
x6,0.0013920553245590013
x2,0.001337081517812595
z18,0.0012581295689066557
x10,0.0011593742662814814
z11,0.0009019780914930785
z9,0.0008399574964000281
z8,0.000827528411335379
z15,0.0008007790469646176
z16,0.0007993970261478058
z7,0.0007917968781527301
z12,0.000731246381821256
z19,0.0006620285856283077
z13,0.0006595122145916322
y1,0.0
z1,0.0
x1,0.0
